Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
X493,0.009757739400482145,0.001220990412197337,0.14684616566589442,0.24133055315161692,0,0.006015063542501568,0.05834220989884962,0.08090291439859189,0,0.11391662905011918,0,0.028680766696165778,0,0.0885294228210126,0.02929197524761879,0.14050101659966327,0.012493096898479534,0,0.024621012012139967,0,0.014919360414759204,0.0026310837899076968,0.003,0.340708652705651,0.9447240329972849
X490,0.05410388305752638,0.09873628153119131,0.0733669803895465,0.029949362953933363,0.1931973857252294,0.01296181792819999,0.14482962679744454,0,0,0.04186883826207531,0.011438958951479707,0,0.08746643308675241,0.020358882783991627,0,0.0567974853011102,0.02956402984356387,0.02197626650444938,0.06172053282302073,0.00309946601873503,0,0.05856376804175017,0.002,0.3504069778097875,0.9364119477023755
X488,0.033252471017026115,0,0.08353340336708621,0,0.14262188485779875,0.11208722770829381,0,0,0.17723248710754116,0,0.2849874818679172,0,0.0390521926262908,0.03196883393865375,0,0,0.06538002580588159,0,0.029883991703510547,0,0,0,0.813,-0.0061,1.1205724814075402
X487,0.03318367865192346,0,0,0,0,0.21309435312767241,0.0021144418010656638,0,0.11008699952476106,0,0,0.02154741610786307,0,0,0,0.19151358154422746,0.0706745477647274,0,0.3152874005449945,0,0,0.042497580932765025,0.198,0.08790220575785501,1.0531131878539803
X485,0,0,0.001582730644425486,0.25487074592182274,0,0,0.05216275973320394,0.040882293821381505,0,0.2454491432400894,0,0.047274143769013253,0,0.0014489898880127516,0.03740233088723066,0.1884748236585914,0.0077974968732588265,0,0.10314275424083016,0,0.00448430688676328,0.015027480435376567,0,0.5405476651324708,0.8406385416568374
X484,0,0.024573693001924645,0.055161282647522486,0,0.08680889999795206,0,0,0.15038680502411322,0.19270012661947292,0.005106593917893287,0,0.049807820526030874,0.007727049523667787,0.12900908684338325,0,0,0,0.1932651165169288,0,0.06749890826958713,0,0.03795461711152355,0.959,-0.0344,1.102173167209948
X479,0,0.01747229964918823,0,0.14125216322253079,0,0.1405720256521191,0.06402266933526547,0.02474572106128744,0,0.06217147834865237,0.013961551505615729,0.017427886801831147,0.009689090138027576,0.07710837281132361,0.10746262776935397,0.156659001688771,0.01932625448443381,0,0.07867046512389068,0,0.05267787782940176,0.016780514578307242,0,0.4415040661918817,0.8965365445584553
X474,0,0.15570643585196597,0,0.20565986140589293,0,0,0.10108035403783383,0.11459442440082329,0.067386294593463,0.1483776747434616,0,0.022555844981290037,0,0.03372336710601977,0.08053887433004195,0,0,0.07037686854920763,0,0,0,0,0.065,0.15272008091254913,1.0448758574665087
X469,0.12738883435275714,0,0,0,0.3644975203229581,0,0,0.0697947065422845,0.11721543754220104,0,0,0.15182861006726198,0,0.16927489117253725,0,0,0,0,0,0,0,0,0.999,-0.0713,1.1514372665386978
X459,0,0.2631986144459157,0,0.04896424002732209,0.14355415227147977,0,0,0.006500075526241131,0.1582405560208166,0,0,0.14518533024026578,0,0.13081401758350963,0.007452693757059557,0,0,0,0.09609032012738976,0,0,0,1.0,-0.0903,1.124779869257031
X457,0,0.020047549642638184,0.0016332984800485194,0.3527318283132624,0,0,0.21355467660949667,0.013247057698652332,0,0.09985022717459983,0,0.0005,0.014285716376712812,0,0.08376156735401734,0.14044028229342215,0,0.01219979605495074,0.007474166002660101,0,0.00790959289210987,0.032329266353184186,0.002,0.3868582534916463,0.9265531025214558
X450,0,0.06597715303678402,0,0.22913387575884542,0,0,0.16184699758116305,0,0,0.26320475785898295,0,0,0.17958450211562893,0.038525366864412436,0.028032752737716174,0,0,0.01103170862677365,0.01122294584375622,0.0006,0.010832028047303124,0,0,0.5246410052641821,0.8505847770447356
X445,0.05393312754176341,0.02558287746254297,0,0.018014462039548335,0.05006879900960269,0,0.11160246708048632,0.12115156932041919,0,0.14051229439653104,0,0.033996507118218694,0.09391916025485848,0,0.027891362422316834,0.1336236027056813,0,0.0033942361798430477,0.07498471606334585,0,0.042131312551264295,0.06919350585357746,0,0.42764465486800124,0.9035404629926371
X44428,0,0.26157831820004673,0,0,0.34294605519174337,0,0,0,0,0,0.06453809732966571,0.06766941150728442,0,0.13528971099380743,0,0,0,0,0.1279784067774522,0,0,0,1.0,-0.1338,1.1419858188890215
X44417,0.14492315560942945,0,0,0,0.03405887844544432,0.17730951842705503,0,0,0,0,0.1374390958229013,0,0.03834190291012551,0,0,0.20547765111612276,0.0717824587436671,0,0,0,0.16976767473158344,0.02089966419367109,0.256,0.07248769596200987,1.051837730418502
X44377,0,0.5796402361419879,0,0,0,0,0,0.2855346133656668,0,0,0,0.13482515049234528,0,0,0,0,0,0,0,0,0,0,1.0,-0.1078,1.1850416216720494
X44366,0,0,0,0.20773551719416272,0,0,0,0,0.027979800437686782,0.08289112279161867,0,0.08005215237969762,0.006623775983980404,0,0,0.25651011819785796,0.0529051839720985,0,0.28530232904289726,0,0,0,0,0.4843110619082199,0.8742013990008316
X44349,0,0.056342747070783,0,0.13429790775479,0,0.2614664914703363,0,0,0,0.0779113347214915,0,0.006849619187415887,0,0.11025215361694496,0.014623225309744815,0.2053742055528832,0.026060660828431354,0,0,0.08676053265377774,0.02006112183340122,0,0.45,0.038343589650259316,1.0775870367145042
