,HH-001,HH-002,HH-003,HH-004,HH-005,HH-006,HH-007,HH-009,HH-010,HH-011,HH-012,HH-013,HH-014,HH-015,HH-016,HH-017,HH-018,HH-019,HH-020,HH-021,HH-022,HH-023,HH-024,HH-025,HH-026,HH-027,HH-028,HH-029,HH-030,HH-032,HH-033,HH-034,HH-035,HH-036,HH037,HH038,HH039,HH040,HH041,HH042,HH043,HH044,HH045,HH046,HH047,HH048,HH-049,HH-050,HH-051,HH-053,HH-054,HH-055,HH-056,HH-058,HH-059,HH-060,HH061,HH062,HH063,HH064,HH065,HH066,HH067,HH068,HH069,HH070,HH071,HH072,HH073,HH074,HH075,HH076,HH077,HH078,HH079,HH080,HH081,HH082,HH083,HH084,HH085,HH087,HH088,HH089,HH090,HH091,HH092,HH093,HH094,HH095,HH096,HH097,HH098,HH099,HH100,HH101,HH102,HH103,HH104,HH105,HH106,HH107,HH108,HH109,HH110,HH111,HH112,HH113,HH114,HH115,HH116,HH117,HH118,HH119,HH121,HH122,HH123,HH124,HH125,HH126,HH127,HH128,HH129,HH130,HH131,HH132,HH052,HH057,HH086,HH120,HH143,HH144,HH145,HH146,HH147,HH148,HH149,HH150,HH008,HH031,HH133,HH134,HH135,HH136,HH137,HH138,HH139,HH140,HH141,HH142
MFAP4,122.91,56.25,464.7,656.83,42.78,35.69,23.42,352.94,138.54,473.55,53.18,112.81,107.08,316.59,1428.81,421.4,34.88,31.77,28.8,30.15,82.85,72.99,1664.29,65.1,80.09,29.08,84.88,100,185.72,275.04,367.62,77.53,31.14,583.43,66.92,128.5,36.17,42.43,92.67,56.14,25.77,74.07,34.21,34.78,605.91,28.8,227.96,993.23,21.19,25.55,97.44,34.43,235.21,37.18,19.55,74.22,30.24,721.09,48.62,85.53,71.32,386,727.68,34.29,39.29,55.07,172.14,55.5,27.52,62.61,343.42,28.97,1565.38,39.38,208.44,50.42,92.26,38,143.84,90.47,1235.14,32.99,25.77,193.49,84.79,93.74,25.22,8.91,151.09,23.34,313.95,139.58,316.54,32.67,26.9,330.92,318.73,3357.16,184.73,177.66,100.92,25.6,91.02,90.7,853.45,31.3,265.73,67.99,64.25,25.64,43.79,146.07,256.35,29.84,1400.92,426.14,126.07,510.11,292.26,41.56,58,365.4,574.22,1717.42,418.4,2701.51,147.42,33.54,188.43,86.23,304.11,662.18,26.47,318.6,263.98,226.31,25.77,723.09,2484.27,28.85,72.02,32.08,149.86,317.46,525.52,163.11,34.96,41.51,145.12,746.92
MYH11,24.55,32.97,35.83,68.16,62.04,35.69,23.42,29.89,52.88,467.8,35.96,33.51,43.14,34.93,38.3,602.56,34.88,31.77,28.8,30.15,32.42,26.59,61.05,38.75,65.74,29.08,39.81,37.34,49.82,61.27,35.83,33.86,31.14,25.96,33.41,52.83,36.17,42.43,42.76,30.34,25.77,45.92,34.21,34.78,33.57,28.8,116.05,2966.95,27.08,25.55,16.41,23.26,13.15,22.48,28.47,34.93,30.24,32.23,45.08,28.95,34.74,25.72,28.63,34.29,39.29,47.99,43.32,36.96,27.52,25.99,52.02,28.97,75.57,39.38,190.65,35.59,59.7,38,30.84,25.26,36.55,32.99,25.77,28.44,32.51,24.04,25.22,8.91,23.72,23.34,25.86,27.68,291.79,32.67,26.9,41.6,27.08,9.07,34.69,66.55,35.9,25.6,34.68,34.65,29.63,31.3,456.65,81.07,38.36,25.64,106.67,31.42,37.96,29.84,37.64,48.83,44.21,142.16,82.25,27.54,40.1,32.46,33.25,143.81,368.67,3370.98,42.64,33.54,207.01,227.41,25.79,29.41,26.47,112.1,30.76,28.87,25.77,1142.35,9549.75,47.46,32.41,32.08,43.14,30.82,27.73,54.37,34.96,43.79,125.71,33.76
NUSAP1,434.37,243.74,241.99,69.19,228.18,310.82,62.38,179.98,286.61,266.49,288.55,324.14,241.84,91.57,177.72,48.98,421.69,62.01,134.24,253.04,317.27,200.44,76.88,130.95,106.38,253.49,221.82,259.2,133.59,84.42,189.26,231.31,105.11,173.23,260.78,305.55,63.09,374.6,131.53,57.47,69.14,45.92,120.66,308.4,375.32,60.73,168.27,194.34,307.29,408.95,70.67,106.07,128.68,61.4,295.03,78.59,532.82,110.85,247.08,432.68,113.04,465.58,101.84,316.55,164.73,281.72,32.5,300.92,438.92,152.81,261.65,175.12,260.76,414.56,94.05,216.9,314.77,247.8,203.77,314.27,413.49,471.52,195.48,145.73,32.51,510.05,387,540.83,131.95,169.39,25.86,294.45,378.4,152.48,355.81,238.32,292.35,388.75,187.23,216.58,144.68,137.33,97.17,370,343.04,160.97,415.37,422.33,308.01,374.99,50.53,360.74,167.88,181.26,176.55,202.55,233.32,233.1,295.45,218.19,266.24,218.26,708.98,58.24,214.66,120.11,147.42,319.83,213.64,180.92,150.06,78.88,266.68,200.6,126.8,407.92,118.21,279.51,76.13,84.68,106.31,281.73,387.96,230.41,563.05,344.35,542.75,591.12,160.83,52.68
PIGR,24.55,412.49,35.83,96.05,34.93,393.94,623.03,29.89,36.06,26.08,198.93,823.91,43.14,34.93,65.63,38.2,178.32,67.91,176.18,18221.78,46.48,98.48,156.03,1161.12,180.49,1295.1,116.26,37.34,118.93,30.69,35.83,33.86,37604.69,98.39,33.41,89.95,485.34,1268.11,42.76,932.92,56.57,166.35,94.1,34.78,33.57,1093.1,16.91,70.09,150.7,769.73,129.57,210.28,13.15,143.55,1437.62,321.63,230.58,32.23,817.84,503.12,34.74,25.72,28.63,34.29,198.25,100.61,100.32,36.96,27.52,33.96,52.02,1941.05,47.34,39.38,321.56,35.59,630.45,692.13,197.77,3520.5,26.18,6423.15,25.77,99.2,32.51,24.04,54.61,51.68,144.04,1295.78,25.86,128.11,39.18,965.18,2097.49,92.6,27.08,146.38,34.69,47.14,581.55,25.6,9712.07,735.88,29.63,31.3,14.37,36.3,124.72,46.87,778.12,2226.43,37.96,6397.96,37.64,833.58,272.61,37.51,44.72,225.61,40.1,32.46,33.25,65.37,44.87,24.25,42.64,161.1,110.14,31.36,191.23,29.41,26.47,38.28,30.76,4034.49,25.77,35.62,868.16,28.1,1684.66,32.08,2837.57,35.84,1170.68,308.1,2141.12,394.08,34.64,33.76
PRC1,115.92,144.53,151.58,47.51,206.79,119.27,31.19,174.72,149.12,178.3,144.77,227.04,288,34.93,106.02,38.2,244.98,31.77,164.65,283.38,173.79,133.82,92.71,77.21,136.27,153.25,149.78,234.4,92.86,78.97,142.69,96.92,101.49,112.25,282.43,228.45,36.17,323.66,95.66,30.34,133.57,45.92,36.43,422.79,151.08,28.8,101.96,124.25,247.24,281.61,62.11,105.14,158.51,36.32,111.28,106.24,393.64,104.4,159.84,254.58,133.9,149.23,96.28,468.31,146.08,259.48,32.5,206.39,345.05,316.23,314.8,210.14,154.46,279.34,64.82,427.15,229.75,156.25,123.46,203.17,162.2,207.85,208.96,211.86,32.51,317.06,198.25,278.72,233.68,178.13,25.86,142.45,312.41,318.89,184.35,254.66,459.1,352.75,205.95,167.51,85.4,111.42,102.09,332.9,266.96,127.49,466.97,209.2,111.49,424.54,36.04,255.62,127.67,124.87,126.69,165.94,146.54,414.99,219.59,151.4,169.1,32.46,349.63,35.61,143.1,61.04,82.86,397.63,242.84,180.92,69.05,65.13,26.47,120.36,150.7,176.02,85.76,236.98,46.75,63.28,73.73,204.84,245.1,157.7,201.76,207.29,212.87,685.7,97.98,41.39
PTGS1,1363.16,2238.21,1435.31,982.15,384.34,1342.06,469.32,1554.01,2118.35,1338.2,890.27,1417.93,3546.44,824.17,872.43,552.8,1220.09,593.51,3937.91,1083.87,1246.19,1812.63,694.21,844.73,2853.24,4886.6,883.02,554.39,11661.38,2554.36,1084.04,1076.41,4653.92,1855.63,1820.56,2001.77,469.16,7064.29,2603.78,609.47,1005.74,1426.75,959.24,1972.04,965.33,1575.35,126,1099.16,931.28,1550.89,804.18,688.52,656.2,668.44,1643.37,1289.44,1704.4,1300.12,1884.1,2771.19,662.78,947.08,1141.51,2330.87,920.11,3130.67,1470.62,2277.26,3484.89,2542.56,1237.94,5377.99,47.34,414.56,2727.51,4742.38,3120.57,2203.35,3978.27,1034.88,267.28,640.18,3019.82,1822.25,411.23,862.03,3059.24,884.16,1423.23,2409.94,2527.92,2050.65,475.32,1119.98,6809.43,2501.63,987.86,1823.76,3009.41,1281.98,2356.56,2315.63,2014.74,863.68,2098.36,542.15,1375.11,5775.3,1862.26,1177.2,2209.73,1425.27,2270.96,7425.12,42.5,621.68,2561.57,959.59,1125.9,1623.81,746.3,578.75,955.42,213.94,3187.09,313.08,564.93,33.54,877.14,1087.18,2375.75,1003.76,1717.74,534.55,429.23,2654.27,1297.95,765.62,134.9,132.14,1125.68,1240.37,1770.33,469.02,1984.76,3659.83,9968.67,2177.96,1089.78,2497.88
RGS16,71.23,47.65,55.18,516.38,39.93,35.69,23.42,58.82,92.01,506.14,39.39,168.49,174.46,34.93,142.38,38.2,59.44,31.77,32.51,30.15,68.04,39.97,198.99,75.69,87.26,62.22,104.85,100,49.82,127.99,84.23,239.06,39.87,45.73,33.41,49.97,36.17,54.12,42.76,30.34,25.77,70.43,34.21,34.78,33.57,28.8,85.38,50.18,21.19,37.55,214.16,16.34,103.97,19.16,31.06,32.02,30.24,41.97,45.08,50.31,34.99,149.23,28.63,34.29,39.29,47.99,32.5,105.8,51.56,25.99,174.16,30.42,183.53,39.38,47.03,35.59,44.32,38,169.01,71.43,94.42,169.84,59.32,105.32,32.51,51.46,70.04,29.53,57.41,55.88,25.86,27.68,57.74,32.67,26.9,61.28,127.7,31.2,180.99,188.38,57.17,25.6,34.68,52.56,197.8,45.07,92.88,36.3,76.53,56.25,61.76,80.78,104.55,72.51,86.64,61.54,363.48,84.67,480.7,27.54,40.1,206,98.33,55.86,115.21,643.87,63.49,33.54,43.79,310.26,38.51,29.41,26.47,67.26,89.38,81.03,69.53,35.62,532.92,33.5,52.3,32.08,86.14,1287.24,121.99,72.49,34.96,87.57,373.43,130.44
SERPINF1,1412.05,915.6,163.54,2950.57,339.42,148.18,92.08,741.01,886.26,11735.14,55.15,1005.26,1885.83,837.25,3021.2,1640.51,1128.53,87.6,205.55,47.57,216.9,776.26,11781.16,608.57,610.81,119.83,905.84,1265.58,345.38,1275.82,929.46,1079,81.55,760.82,104.31,802.42,116.48,1190.65,106.12,284.69,722.87,669.05,316.46,1549.26,491.41,401.87,1824.47,5223.42,737.01,138.76,772.06,459.63,349.41,286.23,491.72,459.89,231.62,1090.25,188.48,690.28,94.87,4265.86,155.53,305.88,97.7,610.04,519.85,252.35,107.08,288.64,1333.6,104.15,213.42,181.28,788,534.65,605.12,898.43,1778.77,1104.72,637.37,188.85,93.02,2187.19,148.38,1156.12,73.6,107.06,377.72,220.04,306.98,156.79,2433.3,428.02,114.74,268.27,1041.69,1315.03,1415.46,2773.77,496.15,86.37,736.77,857.5,2632.29,68.25,2027.83,529.54,1250.95,890.6,392.99,1697.49,2736.41,566.62,1804.69,2445.44,1866.53,642.87,4679.28,157.33,163.51,1594.01,1994.61,763.04,875.6,10378.75,606.9,80.16,3695.66,4167.81,167.32,69.47,352.96,1105.68,840.8,1179.06,254.96,1901.9,24970.93,532.28,1500.33,158.83,2127.48,6962.57,1977.72,1727.4,266.4,460.64,4392.41,388.2
SFRP4,24.55,100.78,35.83,929.48,69.17,35.69,23.42,337.14,291.89,1518.42,35.96,355.55,260.31,1043.95,600.81,1239.32,34.88,31.77,55.58,30.15,58.6,47.5,4156.19,149.11,135.07,29.08,39.81,75.2,109.15,216.49,179.35,33.86,31.14,203.72,38.38,89.95,36.17,76.41,42.76,30.34,25.77,245.28,34.91,123.07,33.57,28.8,142.58,595.78,28.26,39.18,51.4,94.9,36.64,25.08,173.39,171.73,44.66,32.23,93.91,84.52,34.74,439.72,28.63,34.29,39.29,47.99,92.34,56.37,27.52,53.06,82.58,36.87,48.17,39.38,210.98,35.59,451.35,63.48,382.36,190.47,53.3,32.99,25.77,210.64,32.51,24.04,25.22,8.91,23.72,61.12,25.86,43.02,383.55,140.09,26.9,59.92,197.36,163.18,63.66,892.82,117.16,25.6,264.45,78.33,329.21,31.3,957.16,139.9,149.28,25.64,136.99,289.92,685.61,41.62,37.64,230.6,267.7,100.35,848.82,27.54,40.1,625.34,98.33,961.52,335.93,5556.6,94.69,33.54,492.31,586.71,25.79,32.57,674.54,830.73,603.84,150.87,25.77,2114.57,5564.23,38.15,54.01,62.4,777.32,507.93,943.11,428.17,75.94,125.23,535.19,65.85
SLC25A25,83.8,161.71,73.79,234.43,78.44,59.03,389.86,53.56,86.72,304.83,100.45,228.47,277.84,546.83,112.08,146.17,161.45,144.69,751.93,107.56,94.98,101.38,318.84,81.75,530.72,798.49,155.49,198.4,164.54,164.75,111.97,294.62,80.65,157.98,75.77,88.52,80.89,67.92,153.95,69.5,95.86,188.21,132.81,66.6,65.2,69.66,92.84,205.5,136.57,131.42,271.99,73.5,76.7,229.15,119.05,61.12,171.38,350.86,45.08,252.57,39.7,89.54,28.63,345.01,39.29,133.45,389.89,216.8,88.58,98.69,449.71,455.31,101.31,57.21,238.94,102.74,270.45,146.48,98.29,642.83,103.56,176.97,141.55,112.67,72.07,79.04,223.18,191.97,55.4,66.36,25.86,125.24,134.04,108.36,170.17,324.11,507.65,141.58,376.96,95.88,375.47,120.06,201.72,83.48,237.92,177.71,139.32,146.44,69.92,346.87,522.12,125.04,102.54,147.7,141.4,174.51,86.78,173.52,110.19,77.18,93.64,100.55,313.21,603.77,219.51,267.79,96.85,183.89,173.84,193.6,167.32,244.61,26.47,92.04,97.69,265.43,324.49,279.51,960.32,87.47,67.73,83.2,133.05,168.97,276.83,240.14,103.32,330.15,323.52,37
