"","Differentiated","KRT17","EMT","Cell_cycle","Ciliated","P-value","Correlation","RMSE"
"TCGA-61-1998-01",0.364315526530511,0.279425448518444,0.356259024951045,0,0,0.071,0.343712096649072,0.995123077028088
"TCGA-20-1684-01",0.858570542189233,0,0,0.141429457810767,0,0.11,0.288615814942893,1.12106850047672
"TCGA-24-1556-01",0,0.150508727676614,0,0.849491272323386,0,0.296,0.146174982982413,1.08075705642852
"TCGA-57-1582-01",0.0173891119952509,0,0.14076661289407,0.84184427511068,0,0.567,0.03094847860136,1.12127755176841
"TCGA-04-1362-01",0,1,0,0,0,0.002,0.606858428805255,0.806490331846416
"TCGA-61-2113-01",0.00652638392808001,0.20621914368183,0.621223746940606,0.166030725449483,0,0.169,0.224365833434949,1.05543171291651
"TCGA-24-1924-01",0,0.0322400255608629,0.306131807545715,0.661628166893422,0,0.0570000000000001,0.364303605572326,0.936036159907227
"TCGA-31-1946-01",0,0.131538159673671,0.564676755516341,0.303785084809988,0,0.158,0.234533070460916,1.0311535328055
"TCGA-29-1699-01",0.284633766678959,0,0.108804154659768,0.606562078661273,0,0.046,0.39058291085194,0.943468758633441
"TCGA-61-2002-01",0.310806566738106,0.314261767107148,0.374931666154746,0,0,0.25,0.170422507941545,1.10119013887607
"TCGA-24-2035-01",0,0,0.956727284839306,0.0432727151606937,0,0.012,0.518562204819487,0.930689864768791
"TCGA-09-1674-01",0.430904745382684,0,0,0.569095254617316,0,0.477,0.066226492068972,1.17577569623166
"TCGA-29-1710-01",0.225116945185955,0,0.674529786850528,0.100353267963517,0,0.036,0.418386899922875,0.955992384008158
"TCGA-24-1436-01",0.279789910805771,0.660515376093287,0.059694713100942,0,0,0.012,0.526146281799559,0.874590387541977
"TCGA-13-1497-01",0,0.308103334299334,0.0360271740233885,0.655869491677278,0,0.445,0.0767976286205332,1.10313353947925
"TCGA-24-2271-01",0,0.546918212752192,0.361063552354255,0.0920182348935528,0,0.011,0.534073806961056,0.840798261194182
"TCGA-24-1552-01",0,0.228508192307651,0.0149833518887379,0.756508455803611,0,0.037,0.413236561453006,0.921375219217747
"TCGA-61-1724-01",0.373245431251741,0.0588582044104982,0.412481493443362,0.155414870894399,0,0.03,0.437786453359868,0.92190624076387
"TCGA-20-1685-01",0.671276635306226,0.24135602445772,0.0873673402360534,0,0,0.026,0.457196894641005,0.958076788447802
"TCGA-24-1423-01",0.584848386619207,0.17744078147915,0.0814139703676268,0.156296861534016,0,0.04,0.403185818109662,0.979232170658983
"TCGA-25-2398-01",0.212639274578749,0,0.710190656744187,0.0771700686770632,0,0.089,0.309213394308535,1.04498095551585
"TCGA-29-1763-01",0.863015376721071,0,0.120743464157346,0.0162411591215827,0,0.03,0.436462351015868,0.995526756259669
"TCGA-29-1703-01",0.940370553699929,0,0.0565613494222382,0.00306809687783246,0,0.033,0.428367665140209,1.02398971121796
