Input Sample	B cells	CD8 T cells	CD4 T cells	NK cells	Monocytes	Neutrophils	P-value	Pearson Correlation	RMSE
TCGA-09-1667-01	0.10092017670558757	0.09141166802093541	0.14433144095035402	0.1072618866046626	0.5560748277184604	0	0.016	0.1942561123518467	1.130063495614686
TCGA-23-1809-01	0.004673606800775599	0.0015228840346371984	0.6600592590326629	0	0.3337442501319242	0	0.034	0.15796575138482588	1.0501274281699229
TCGA-31-1956-01	0.08875791529775237	0.16855959654315592	0.04288783294544864	0.008052868021546427	0.6917417871920967	0	0	0.40061215421603685	1.0578776239205006
TCGA-13-0730-01	0.050759327621804996	0.39672691444887936	0	0	0.5525137579293157	0	0.052	0.1150622415642118	1.175319416643549
TCGA-04-1519-01	0.5463979990287902	0.009477916949160968	0.3706772877940874	0	0.07344679622796153	0	0.034	0.14801218843444652	1.0348244651021627
TCGA-25-1870-01	0.5088681405431005	0.01393732075444896	0.02660708338583491	0.01252262436788102	0.4380648309487346	0	0.004	0.31404666334055437	1.0330626412028532
TCGA-29-1688-01	0.14876087148523837	0.018911196876580497	0.16042645282223644	0.06642934353548369	0.605472135280461	0	0.028	0.16698472052857632	1.184770383915798
TCGA-61-2104-01	0.16284174158705045	0.10922388012554371	0.2413291148820292	0.006698267036859709	0.46422968968445294	0.015677306684063964	0.01	0.25047386229084456	1.0492234074459121
TCGA-13-0801-01	0.1252357583089378	0.11349639705999966	0	0.01985389052901317	0.7414139541020495	0	0.008	0.28763613987559966	1.1942158333328072
TCGA-24-1928-01	0.013492982432322687	0	0.3690925412310581	0	0.6174144763366192	0	0.09	0.08382464264471459	1.2432536154026175
TCGA-36-1569-01	0.10550739253906372	0.3527483593970173	0.04705479028015783	0	0.4946894577837611	0	0.006	0.2941759394430573	1.0291076502886463
TCGA-25-1315-01	0	0	0.7199097505274288	0	0.2800902494725712	0	0.282	0.034685596049463085	1.0922397428879078
TCGA-24-1418-01	0.27167012159660314	0.1912877455147499	0.18626911633480792	0	0.350773016553839	0	0.012	0.22833675110062504	1.021243951197431
TCGA-24-1428-01	0.23280395936314838	0.04292876505311736	0.13367752797308483	0.030126216950338007	0.5604635306603114	0	0.004	0.30291241866888147	1.0664078564384416
TCGA-23-2077-01	0.3231221684968071	0.1443314147215252	0.07977782570019189	0	0.44610342543631293	0.0066651656451628925	0.01	0.25405499570199813	1.0504226219102462
TCGA-09-1669-01	0.21506192315134642	0.12828534800021327	0.10434959017847233	0	0.552303138669968	0	0.008	0.2910581776023468	1.0685843674085846
TCGA-24-1430-01	0.052848136688312425	0	0.7935989503275173	0	0.15355291298417034	0	0.092	0.08164815692265734	1.0485434511323655
TCGA-36-1581-01	0.19064706449356558	0.1982443002021626	0.058516487847865915	0	0.552592147456406	0	0	0.3488481093817075	1.024311360175647
TCGA-29-1776-01	0.29467281011827756	0.38376433729166365	0	0	0.32156285259005873	0	0.01	0.27751594027320037	0.9883106632348791
TCGA-29-1696-01	0.4054702261408208	0.052465402412555893	0.2061979564568965	0	0.3358664149897268	0	0	0.359547103465341	0.9551500531359953
TCGA-13-0913-01	0.40600376159804047	0.2854698658159319	0.16653963236596656	0	0.14198674022006108	0	0.042	0.1277214115964725	1.0299803945686847
TCGA-09-0364-01	0	0	0.8154736805953597	0	0.1845263194046403	0	0.032	0.16150648089596448	1.0229771968060886
TCGA-61-2111-01	0.18005455642258958	0	0.30016022567357276	0.015339350737175982	0.5044458671666617	0	0.016	0.19590975387980664	1.103198623529075
TCGA-36-1571-01	0	0	0.8400062244568319	0	0.15999377554316804	0	0.08	0.08838835882888091	1.0512638549548647
TCGA-24-2020-01	0	0	0.44067591245203286	0.023982290620938145	0.535341796927029	0	0.06	0.10468594789804302	1.1719689448759427
TCGA-20-1687-01	0.24420187901565962	0.19604636097426306	0	0.010544878595303142	0.5492068814147741	0	0.002	0.31992767172681397	1.048547206908388
TCGA-24-2262-01	0.05473148905681668	0.5400693389279448	0	0	0.4051991720152385	0	0.034	0.1443001833163962	1.0762111827009944
TCGA-24-1850-01	0.15379535210288195	0	0.2110724962710804	0.007158906176585684	0.627973245449452	0	0.034	0.15660909950313348	1.2095177451082721
TCGA-25-1313-01	0.08130364839834352	0	0.19835653287826896	0.0188678065201929	0.7014720122031947	0	0.006	0.29695641282236485	1.1521184790169865
TCGA-13-1489-02	0	0.5687412992353691	0	0	0.4115789972393766	0.019679703525254378	0.01	0.2525936774576313	1.0223048265930077
TCGA-29-1694-01	0.07215061507251991	0	0.4358219637595937	0.032718512483399555	0.4593089086844868	0	0.034	0.15251233721516533	1.1001514886212655
TCGA-23-1027-01	0.24893512608572413	0	0.16809769355798512	0	0.5829671803562907	0	0.012	0.23635653705427587	1.1310313750255139
TCGA-59-2355-01	0.18482435691777147	0	0.34785157739931405	0.01344547953211531	0.45387858615079923	0	0.012	0.22407766320575326	1.0599491513849393
TCGA-24-1604-01	0.35610759204399456	0	0.3340952175806877	0	0.3097971903753177	0	0.016	0.20973589761685416	1.0265826536865754
TCGA-25-1319-01	0.24574290528084744	0.3318358283064637	0.035900943606517584	0	0.3865203228061713	0	0.034	0.15843132458605605	1.0694667904882889
TCGA-24-1564-01	0.053541778260849215	0	0.17182994652512398	0.0039001829770644162	0.7707280922369624	0	0.006	0.2980386911050667	1.2036117525634076
TCGA-57-1994-01	0.2534799622676245	0.13835170427724774	0.16029489365880512	0	0.4478734397963227	0	0	0.39651302648830844	0.9508498423217739
TCGA-04-1357-01	0.17581173340626124	0.40871760169025556	0	0	0.4154706649034833	0	0	0.40499548093949994	0.9324335487566532
TCGA-29-1778-01	0.31495971037022163	0.13281712243965935	0.09383738722841005	0.046489309703367294	0.4118964702583416	0	0.012	0.21580110586843837	1.0556971512517872
TCGA-13-0899-01	0.05681527023259498	0.24907534222382222	0.102507989038708	0	0.5916013985048748	0	0.182	0.0530708266067881	1.2432393716508938
TCGA-24-2038-01	0.5772234928998619	0	0.22543398249370375	0	0.19734252460643445	0	0.016	0.20244969032204005	1.0303774104927659
TCGA-13-0800-01	0	0.08085344421467015	0.7245880032846315	0	0.19455855250069834	0	0.144	0.06010829725273062	1.0629222840627395
TCGA-25-2399-01	0.187405376835567	0.2734241203706849	0	0.012672184299143706	0.5264983184946044	0	0.01	0.28302401484950296	1.057221780674487
TCGA-24-1548-01	0.25786338177404944	0	0.3014063764266568	0	0.44073024179929376	0	0.064	0.10217774064161252	1.130885196915117
TCGA-59-A5PD-01	0.12834628908473017	0	0.2604230435204465	0.010898187823894151	0.6003324795709292	0	0.05	0.11594284290682372	1.2145783779627377
TCGA-25-2391-01	0.2741051539332964	0.018134955693409248	0.19293311171527647	0.00418280933389966	0.5106439693241183	0	0	0.34349134932655456	1.0150244234008128
TCGA-29-2428-01	0.10240744224690372	0.22534497216853358	0.020886234709998355	0.012572540362045373	0.638788810512519	0	0.052	0.11433264640734031	1.2420217808051792
TCGA-25-1314-01	0.05195628451472167	0.43280012476520274	0.15780266660037234	0	0.35580763909871815	0.0016332850209850966	0.042	0.13438388796762352	1.0618616494593007
TCGA-25-2393-01	0.13951860350400758	0	0.34955580919614665	0	0.5109255872998458	0	0.042	0.13194893202768143	1.1448035688783536
TCGA-23-2081-01	0.0642081164939867	0	0.599859656503052	0.011354818579129707	0.3245774084238317	0	0.054	0.11118446076202326	1.066854380539014
TCGA-29-1762-01	0	0	0.46930319891527794	0.01840306138520725	0.5122937396995149	0	0.082	0.08606727581307089	1.1691581436638754
TCGA-23-1123-01	0.3207272690049277	0.20931598337684104	0.07791134362035418	0.027780589565212826	0.36426481443266423	0	0.02	0.18891408858851252	1.0511166618665166
TCGA-24-1435-01	0.1505642901608475	0	0.22388709835737997	0.014768513820356035	0.6107800976614165	0	0.01	0.2614233339534598	1.121184076957847
TCGA-24-2026-01	0.299212030263311	0.12601622417525565	0.03562944824529107	0.023567462038666057	0.5155748352774763	0	0.022	0.1784593696328235	1.1329048091878047
TCGA-36-1575-01	0.16341312914158115	0.21037265564506452	0.4920831728758173	0	0.13413104233753698	0	0.09	0.08397076743192759	1.0360871501329916
TCGA-10-0928-01	0.4777857610529994	0	0.41147867665011456	0	0.11073556229688604	0	0.006	0.2946874163817513	0.9658382880017934
TCGA-36-1568-01	0.10920838145460593	0.20896238438468137	0.09769823654475258	0	0.5841309976159601	0	0	0.4007216865445297	0.9955531946369196
TCGA-36-1576-01	0.096437709892402	0.05753287679826525	0.2289265342329016	0	0.6171028790764312	0	0	0.35406215729250345	1.0506270469263843
TCGA-24-1463-01	0.04620020903800552	0	0.33436728286736433	0.008928851141559536	0.6105036569530706	0	0.028	0.16726422569869123	1.182331425126626
TCGA-57-1993-01	0.13307162778243015	0	0.4756268438955502	0	0.39130152832201953	0	0.034	0.14264728466331078	1.0764617217874102
TCGA-24-2036-01	0.046181085642176496	0	0.7162396724770409	0	0.23757924188078258	0	0.082	0.08545830263331211	1.0575646051113552
TCGA-13-1403-01	0.36487204609916357	0	0.3585986641913064	0.030484582787431984	0.24604470692209804	0	0.232	0.04535509566044527	1.0835731316543584
TCGA-09-0369-01	0	0	0.5635236901752023	0	0.4364763098247977	0	0.098	0.07975125254641552	1.131375548460459
